Entity_x,Code,Location,SpatialDimValueCode,Country or Area,Entity_y
Algeria,DZA,Algeria,DZA,Algeria,
Argentina,ARG,Argentina,ARG,,
Armenia,ARM,Armenia,ARM,,Armenia
Australia,AUS,Australia,AUS,Australia,Australia
Austria,AUT,Austria,AUT,Austria,Austria
Azerbaijan,AZE,Azerbaijan,AZE,Azerbaijan,Azerbaijan
Bahamas,BHS,Bahamas,BHS,,
Bangladesh,BGD,Bangladesh,BGD,Bangladesh,
Belarus,BLR,Belarus,BLR,,Belarus
Belgium,BEL,Belgium,BEL,Belgium,Belgium
Belize,BLZ,,,,
Bolivia,BOL,,,,
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,
Brazil,BRA,Brazil,BRA,Brazil,
Bulgaria,BGR,Bulgaria,BGR,Bulgaria,Bulgaria
Burundi,BDI,Burundi,BDI,,
Cambodia,KHM,Cambodia,KHM,Cambodia,
Cameroon,CMR,Cameroon,CMR,,
Canada,CAN,Canada,CAN,Canada,Canada
Chile,CHL,Chile,CHL,,
China,CHN,China,CHN,China,
Colombia,COL,Colombia,COL,Colombia,
Comoros,COM,Comoros,COM,,
Costa Rica,CRI,Costa Rica,CRI,,
Croatia,HRV,Croatia,HRV,Croatia,Croatia
Cyprus,CYP,Cyprus,CYP,Cyprus,
Czechia,CZE,Czechia,CZE,,Czechia
Denmark,DNK,Denmark,DNK,Denmark,Denmark
Dominican Republic,DOM,Dominican Republic,DOM,,
Ecuador,ECU,,,Ecuador,
Egypt,EGY,Egypt,EGY,Egypt,
Estonia,EST,Estonia,EST,Estonia,Estonia
Ethiopia,ETH,Ethiopia,ETH,,
Fiji,FJI,Fiji,FJI,,
Finland,FIN,Finland,FIN,Finland,Finland
France,FRA,France,FRA,France,France
Gambia,GMB,Gambia,GMB,,
Georgia,GEO,Georgia,GEO,,Georgia
Germany,DEU,Germany,DEU,Germany,Germany
Ghana,GHA,Ghana,GHA,,
Greece,GRC,Greece,GRC,Greece,Greece
Guatemala,GTM,,,,
Honduras,HND,,,,
Hungary,HUN,Hungary,HUN,Hungary,Hungary
Iceland,ISL,Iceland,ISL,Iceland,Iceland
India,IND,India,IND,India,
Indonesia,IDN,Indonesia,IDN,Indonesia,
Iran,IRN,Iran (Islamic Republic of),IRN,,
Ireland,IRL,Ireland,IRL,Ireland,Ireland
Israel,ISR,Israel,ISR,,Israel
Italy,ITA,Italy,ITA,Italy,Italy
Jamaica,JAM,Jamaica,JAM,,
Japan,JPN,Japan,JPN,Japan,Japan
Kazakhstan,KAZ,Kazakhstan,KAZ,Kazakhstan,Kazakhstan
Kenya,KEN,Kenya,KEN,Kenya,
Latvia,LVA,Latvia,LVA,Latvia,Latvia
Lebanon,LBN,Lebanon,LBN,Lebanon,
Lithuania,LTU,Lithuania,LTU,Lithuania,Lithuania
Luxembourg,LUX,Luxembourg,LUX,Luxembourg,
Malaysia,MYS,Malaysia,MYS,,
Mali,MLI,Mali,MLI,,
Mexico,MEX,Mexico,MEX,Mexico,
Moldova,MDA,Republic of Moldova,MDA,,Moldova
Mongolia,MNG,Mongolia,MNG,Mongolia,
Morocco,MAR,Morocco,MAR,Morocco,
Nepal,NPL,Nepal,NPL,Nepal,
Netherlands,NLD,Netherlands,NLD,Netherlands,Netherlands
New Zealand,NZL,New Zealand,NZL,New Zealand,New Zealand
Nicaragua,NIC,,,,
Nigeria,NGA,Nigeria,NGA,Nigeria,
North Macedonia,MKD,,,,
Norway,NOR,Norway,NOR,Norway,Norway
Oman,OMN,Oman,OMN,,
Pakistan,PAK,Pakistan,PAK,,
Panama,PAN,Panama,PAN,,
Peru,PER,Peru,PER,,
Philippines,PHL,Philippines,PHL,,
Poland,POL,Poland,POL,Poland,Poland
Portugal,PRT,Portugal,PRT,Portugal,Portugal
Romania,ROU,Romania,ROU,Romania,Romania
